show,year,rating,imdb,rotten_tomatoes
48,Highlander: The Series,1992,16+,7.2,N/A
49,Lark Rise to Candleford,2008,7+,8.1,N/A
0,Digimon Tamers,2001,7+,7.7,N/A
1,Devious Maids,2013,7+,7.8,N/A
2,Forged in Fire,2015,7+,8.4,N/A
3,Catfish: The TV Show,2012,16+,7.1,N/A
4,Agatha Christie's Marple,2004,16+,7.8,N/A
5,Into the Dark,2018,18+,6.3,73%
6,Higurashi When They Cry,2006,18+,8.0,N/A
7,Sense and Sensibility,2008,16+,8.0,N/A
8,The Purge,2018,18+,6.4,42%
9,Monogatari,2009,16+,8.0,N/A
10,"Beverly Hills, 90210",1990,7+,6.3,N/A
11,Homicide Hunter: Lt Joe Kenda,2011,16+,8.8,N/A
12,Magi,2012,16+,7.9,N/A
13,90 Day Fiancé: Before the 90 Days,2017,16+,6.6,N/A
14,The Joy of Painting,1983,all,9.4,N/A
15,Tyler Perry's If Loving You Is Wrong,2014,16+,5.8,N/A
16,The Penguins of Madagascar,2009,7+,7.6,N/A
17,Seraph of the End,2015,16+,7.5,N/A
18,General Hospital,1963,7+,6.5,N/A
19,Party of Five,1994,7+,6.8,N/A
20,Drunk History,2013,16+,7.8,N/A
21,Remington Steele,1982,7+,7.2,N/A
22,Scott & Bailey,2011,7+,7.9,N/A
23,Survivorman,2004,7+,8.2,N/A
24,Kitchen Nightmares,2007,16+,7.4,N/A
25,Melissa & Joey,2010,7+,7.0,N/A
26,Apple Tree Yard,2017,18+,7.1,92%
27,Upstairs Downstairs,2010,7+,7.4,N/A
28,Man vs. Wild,2006,7+,8.1,N/A
29,Gangland Undercover,2015,16+,8.2,N/A
30,Simon & Simon,1981,N/A,7.1,N/A
31,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,N/A
32,Puella Magi Madoka Magica,2011,16+,8.3,N/A
33,Dollface,2019,N/A,7.3,50%
34,Durarara!!,2010,16+,7.9,N/A
35,While You Were Sleeping,2017,N/A,8.4,N/A
36,River Monsters,2009,7+,8.1,N/A
37,Difficult People,2015,18+,7.0,95%
38,DCI Banks,2011,18+,7.6,N/A
39,Hill Street Blues,1981,16+,8.1,N/A
40,Fruits Basket,2019,7+,8.3,N/A
41,Gold Rush,2011,7+,7.3,N/A
